date,calories,smoothed_weight_lbs,fm_lbs_weak,ffm_lbs_weak,weight_pred_lbs,fat_pct_weak,tdee_weak
2014-10-15,1540,,48.13,158.09,206.22,23.34,2166.6
2014-10-16,2170,,47.91,158.1,206.01,23.26,2166.8
2014-10-17,1886,,47.87,158.1,205.97,23.24,2167.0
2014-10-18,2714,,47.75,158.1,205.85,23.2,2167.1
2014-10-19,3410,,47.86,158.11,205.97,23.24,2167.3
2014-10-20,2430,,48.18,158.11,206.29,23.35,2167.4
2014-10-21,3554,,48.21,158.11,206.33,23.37,2167.6
2014-10-22,2079,,48.57,158.12,206.68,23.5,2167.7
2014-10-23,3544,,48.5,158.12,206.62,23.47,2167.9
2014-10-24,2227,,48.85,158.12,206.97,23.6,2167.9
2014-10-25,3772,,48.83,158.12,206.95,23.59,2168.1
2014-10-26,2415,,49.25,158.12,207.37,23.75,2168.2
2014-10-27,1885,,49.28,158.13,207.4,23.76,2168.3
2014-10-28,1825,,49.15,158.13,207.28,23.71,2168.4
2014-10-29,1801,,49.01,158.13,207.14,23.66,2168.5
2014-10-30,1525,,48.87,158.13,207.0,23.61,2168.6
2014-10-31,1632,,48.64,158.13,206.78,23.52,2168.7
2014-11-01,1695,,48.45,158.14,206.58,23.45,2168.8
2014-11-02,2604,,48.27,158.14,206.41,23.39,2169.0
2014-11-03,1817,,48.35,158.14,206.49,23.42,2169.1
2014-11-04,1970,,48.21,158.14,206.35,23.36,2169.2
2014-11-05,1642,,48.11,158.14,206.26,23.33,2169.4
2014-11-06,2290,,47.92,158.15,206.07,23.25,2169.5
2014-11-07,1829,,47.91,158.15,206.06,23.25,2169.6
2014-11-08,2225,,47.77,158.15,205.93,23.2,2169.8
2014-11-09,1612,,47.75,158.16,205.9,23.19,2169.9
2014-11-10,1920,,47.55,158.16,205.7,23.11,2170.0
2014-11-11,2357,,47.43,158.16,205.59,23.07,2170.2
2014-11-12,2315,,47.44,158.16,205.61,23.07,2170.3
2014-11-13,2674,,47.44,158.17,205.61,23.07,2170.5
2014-11-14,4100,,47.55,158.17,205.72,23.11,2170.6
2014-11-15,3823,,48.05,158.17,206.23,23.3,2170.7
2014-11-16,4442,,48.48,158.17,206.66,23.46,2170.9
2014-11-17,2047,,49.09,158.17,207.27,23.68,2170.9
2014-11-18,2570,,49.01,158.18,207.19,23.66,2171.0
2014-11-19,1953,,49.08,158.18,207.26,23.68,2171.1
2014-11-20,1973,,48.98,158.18,207.16,23.64,2171.2
2014-11-21,1674,,48.88,158.18,207.06,23.61,2171.3
2014-11-22,1847,,48.7,158.18,206.87,23.54,2171.4
2014-11-23,1915,,48.56,158.18,206.74,23.49,2171.5
